document_id,supplier_id,lead_time,penalty_rate,penalty_cap,min_order_qty,payment_terms,quality_tolerance,notice_period
CTR-2026-0001,SUP-0001,4,0.7,5,50,60,2.0,30
CTR-2026-0001-A1,SUP-0001,3,1.1,5,,,,
CTR-2026-0002,SUP-0002,7,1.3,5,100,60,3.0,90
CTR-2026-0003,SUP-0003,14,1.3,5,500,60,2.0,30
CTR-2026-0004,SUP-0004,13,1.6,5,500,45,2.0,30
CTR-2026-0004-A1,SUP-0004,12,2.6,10,,,,
CTR-2026-0005,SUP-0005,5,0.7,10,50,45,2.0,90
CTR-2026-0006,SUP-0006,12,0.9,5,500,60,1.0,60
CTR-2026-0007,SUP-0007,13,0.6,10,200,60,1.0,90
CTR-2026-0008,SUP-0008,10,0.6,15,100,45,1.0,30
CTR-2026-0008-A1,SUP-0008,9,1.2,10,,,,
CTR-2026-0009,SUP-0009,10,1.5,10,100,45,2.0,30
CTR-2026-0009-A1,SUP-0009,7,2.0,15,,,,
CTR-2026-0010,SUP-0010,7,1.5,15,100,60,3.0,30
CTR-2026-0011,SUP-0011,11,0.7,10,200,60,3.0,90
CTR-2026-0012,SUP-0012,9,0.8,10,50,30,1.0,60
CTR-2026-0013,SUP-0013,10,1.1,5,100,60,3.0,60
CTR-2026-0014,SUP-0014,10,0.8,10,500,60,2.0,30
CTR-2026-0015,SUP-0015,20,0.9,5,200,60,3.0,60
CTR-2026-0016,SUP-0016,19,1.8,10,200,30,1.0,90
CTR-2026-0017,SUP-0017,4,1.2,5,50,30,3.0,30
CTR-2026-0017-A1,SUP-0017,1,1.8,5,,,,
CTR-2026-0018,SUP-0018,11,1.1,15,500,60,2.0,90
CTR-2026-0019,SUP-0019,10,1.8,5,50,60,3.0,60
CTR-2026-0020,SUP-0020,12,1.7,10,50,45,2.0,30
